iter	Passed	Remaining
0	6	597
1	8	405
2	10	332
3	11	281
4	13	249
5	14	227
6	16	215
7	17	203
8	18	190
9	20	180
10	21	170
11	22	161
12	22	153
13	23	147
14	24	141
15	26	136
16	27	132
17	28	128
18	29	123
19	30	120
20	31	118
21	32	115
22	33	112
23	34	109
24	35	106
25	36	103
26	37	100
27	37	97
28	38	94
29	39	91
30	39	88
31	40	86
32	41	83
33	41	81
34	42	79
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	48	69
41	48	67
42	49	65
43	50	63
44	50	62
45	51	60
46	52	58
47	52	57
48	53	55
49	54	54
50	54	52
51	55	51
52	56	49
53	56	48
54	57	46
55	59	46
56	60	45
57	60	44
58	61	42
59	62	41
60	62	40
61	63	38
62	64	37
63	64	36
64	65	35
65	66	34
66	66	32
67	67	31
68	68	30
69	68	29
70	69	28
71	70	27
72	70	26
73	71	25
74	72	24
75	74	23
76	74	22
77	75	21
78	76	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	80	13
86	81	12
87	82	11
88	82	10
89	83	9
90	84	8
91	84	7
92	85	6
93	86	5
94	88	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
